Timestamp,Machine,Code,Shift,From Status,To Status,Updated By,Note
2026-08-19 08:01:58,WT2-TW1,WT2-TW1,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,WT1-CH1,WT1-CH1,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,SH4-CH4,SH4-CH4,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,SH3-CH3,SH3-CH3,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,SH1-CH1,SH1-CH1,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,PS3-TR1,PS3-TR1,day,out_of_order,running,Administrator,Bulk update
2026-08-19 08:01:58,PS2-TW2,PS2-TW2,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,PS1-TW1,PS1-TW1,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,LT1-VT1,LT1-VT1,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,HR1-CH1,HR1-CH1,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,FABRICATION,FABRICATION,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,CM1-CH1,CM1-CH1,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,CL4-TW1,CL4-TW1,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,CL3-CH3,CL3-CH3,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,CL2-CH2,CL2-CH2,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,CL1-CH1,CL1-CH1,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,BR9-CH6,BR9-CH6,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,BR8-CH5,BR8-CH5,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,BR6-W-TW2,BR6-W-TW2,day,idle,running,Administrator,Bulk update
2026-08-19 08:01:58,BR5-W-CH3,BR5-W-CH3,day,idle,running,Administrator,Bulk update
